ProjectUnit = GBOGR2T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,01PRE-Attr,01POST-Attr,01POST-Diff,01POST-%Diff,01YEAR1-Attr,01YEAR1-Diff,01YEAR1-%Diff,01YEAR2-Attr,01YEAR2-Diff,01YEAR2-%Diff,01PRE REPEAT-Attr,01PRE REPEAT-Diff,01PRE REPEAT-%Diff
B:GBOGR2T02:01,0.00,0.01,0.01,***,0.01,0.01,***,0.00,0.00,0.00,***,***,***
B:GBOGR2T02:02,0.08,0.00,-0.08,-100.00,0.00,-0.08,-100.00,0.00,-0.08,-100.00,***,***,***
B:GBOGR2T02:03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***
B:GBOGR2T02:04,0.02,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:05,0.02,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:06,0.02,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:07,0.02,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:08,0.05,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:09,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:10,0.03,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:11,0.02,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:12,0.01,***,***,***,***,***,***,***,***,***,***,***,***
B:GBOGR2T02:13,0.03,0.00,-0.03,-100.00,0.00,-0.03,-100.00,0.01,-0.02,-75.00,***,***,***
B:GBOGR2T02:14,0.00,***,***,***,***,***,***,***,***,***,0.03,0.03,***
B:GBOGR2T02:15,0.01,***,***,***,***,***,***,***,***,***,0.01,0.00,0.00
B:GBOGR2T02:16,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B:GBOGR2T02:17,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_18,0.03,***,***,***,***,***,***,***,***,***,0.02,-0.01,-25.00
B_GBOGR2T02_19,0.02,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_20,0.02,***,***,***,***,***,***,***,***,***,0.13,0.11,700.00
B_GBOGR2T02_21,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_22,0.02,***,***,***,***,***,***,***,***,***,0.00,-0.02,-100.00
B_GBOGR2T02_23,0.02,***,***,***,***,***,***,***,***,***,0.00,-0.02,-100.00
B_GBOGR2T02_24,0.00,***,***,***,***,***,***,***,***,***,***,***,***
B_GBOGR2T02_25,0.05,***,***,***,***,***,***,***,***,***,0.00,-0.05,-100.00
B_GBOGR2T02_26,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
B_GBOGR2T02_27,0.11,***,***,***,***,***,***,***,***,***,0.10,-0.02,-14.29
B_GBOGR2T02_28,0.01,***,***,***,***,***,***,***,***,***,0.00,-0.01,-100.00
Mean,0.02,0.00,0.02,90.14,0.00,0.02,90.14,0.00,0.02,90.14,0.02,0.00,-18.30
